497	103	132	195	118	175	39	172	88
525	167	132	191	126	171	43	189	88
542	114	135	177	100	135	37	182	83
589	0	0	0	7	1	0	0	1
609	0	0	0	7	1	0	0	1
617	0	0	0	7	1	0	0	1
620	0	0	0	6	0	0	0	1
623	0	0	0	6	0	0	0	1
629	0	0	0	6	0	0	0	1
649	0	0	0	66	0	0	0	0
652	0	0	0	66	0	0	0	0
658	0	0	0	66	0	0	0	0
674	0	0	0	65	0	0	0	0
676	0	0	0	65	0	0	0	0
679	0	0	0	65	0	0	0	0
690	0	0	0	61	0	0	0	0
695	0	0	0	57	0	0	0	0
3146	0	0	1	0	0	0	0	0
3165	0	0	1	0	0	0	0	0
5775	3	3	0	0	0	0	1	4
5818	0	0	0	0	0	0	0	1
6106	1	0	1	0	0	0	0	0
7315	0	0	0	1	0	0	1	0
7341	0	0	0	1	0	0	1	0
7346	0	0	0	1	0	0	1	0
7355	0	1	0	1	0	0	1	0
38036	0	0	0	0	0	0	0	0
38042	0	0	0	0	0	0	0	0
81413	0	0	0	0	0	0	0	0
92796	0	0	0	0	0	0	1	0
126286	0	0	1	0	0	0	0	0
126288	0	0	1	0	0	0	0	0
126983	94	19	17	27	10	53	27	31
127020	94	19	15	28	10	48	29	29
127032	42	0	0	0	1	3	0	1
127677	0	0	0	0	0	1	1	0
127687	0	0	0	0	0	1	1	0
158819	0	0	0	0	0	0	1	0
219524	0	2	0	0	0	0	0	0
219528	0	1	0	0	0	0	0	0
219560	0	1	0	0	0	0	0	0
226957	0	0	0	0	0	0	0	0
227651	0	0	0	0	0	0	0	0
239135	0	0	0	0	0	0	1	0
511440	0	0	0	0	0	0	0	0
511448	0	0	0	0	0	0	0	0
511465	0	0	0	0	0	0	0	0
513647	0	0	0	0	0	0	0	0
513667	0	0	0	0	0	0	0	0
513671	0	0	0	0	0	0	0	0
516577	0	0	0	0	1	0	0	0
516596	0	0	0	0	1	0	0	0
516626	0	0	0	0	0	0	0	0
528534	1	0	0	0	0	0	1	0
528569	2	0	0	0	0	0	1	0
533879	0	0	0	0	0	0	0	0
534581	0	0	1	0	0	0	0	0
534602	0	0	0	0	0	0	0	0
534606	0	0	0	0	0	0	0	0
534613	0	0	0	0	0	0	0	0
534615	0	0	0	0	0	0	0	0
535890	27	65	149	100	50	30	66	291
535893	25	65	142	98	49	26	65	284
535897	27	63	116	95	46	30	59	279
535899	27	65	150	101	50	30	68	291
535921	23	65	143	95	48	28	64	277
535924	26	61	137	100	50	22	67	282
535958	17	61	175	60	69	45	31	105
535961	17	58	174	59	68	44	30	101
535965	16	60	169	57	68	43	31	105
535989	17	56	132	56	68	41	31	100
535992	16	61	153	59	69	44	31	105
556676	0	0	0	0	0	0	0	7
556679	0	0	0	0	0	0	0	7
559793	0	0	0	0	0	0	0	0
559795	0	0	0	0	0	0	0	0
559805	0	0	0	0	0	0	0	0
594624	0	0	0	0	0	0	0	1
594658	0	0	0	0	0	0	0	0
600056	0	0	1	0	0	0	0	0
600064	0	0	1	0	0	0	0	0
627588	0	0	0	0	0	0	0	0
647555	1	0	0	0	0	0	0	0
647591	1	0	0	0	0	0	0	0
652444	1	0	0	0	0	0	0	0
652458	1	0	0	0	0	0	0	0
652460	1	0	0	0	0	0	0	0
